"rental_id","film_id","film_title","language","category","rental_duration","rental_rate","replacement_cost","rating","actor_names","amount"
1,80,"Blanket Beverly","English             ","Family",7,"2.99","21.99","G","AlanDreyfuss,BurtTemple,FredCostner,ThoraTemple","0"
2,333,"Freaky Pocus","English             ","Music",7,"2.99","16.99","R","FayWinslet,KevinGarland,MatthewLeigh,SidneyCrowe,TomMiranda","0"
3,373,"Graduate Lord","English             ","Children",7,"2.99","14.99","G","EwanGooding,WhoopiHurt","0"
4,535,"Love Suicides","English             ","Horror",6,"0.99","21.99","R","ChristianNeeson,GretaMalden,JohnnyLollobrigida,TomMiranda","0"
5,450,"Idols Snatchers","English             ","Children",5,"2.99","29.99","NC-17","AdamGrant,AlbertNolte,JaneJackman,MaryKeitel,OlympiaPfeiffer,RussellBacall,SeanWilliams,TomMckellen","0"
6,613,"Mystic Truman","English             ","Comedy",5,"0.99","19.99","NC-17","HumphreyWillis,KevinGarland,RiverDean,ScarlettDamon","0"
7,870,"Swarm Gold","English             ","Horror",4,"0.99","12.99","PG-13","AngelinaAstaire,BurtPosey,JessicaBailey,MatthewCarrey,SpencerPeck,WoodyJolie","0"
8,510,"Lawless Vision","English             ","Animation",6,"4.99","29.99","G","BobFawcett,JoeSwank,MichaelBolger,PenelopePinkett","0"
9,565,"Matrix Snowman","English             ","Foreign",6,"4.99","9.99","PG-13","GaryPenn,RussellBacall,SandraPeck","0"
10,396,"Hanging Deep","English             ","Drama",5,"4.99","18.99","G","AngelaWitherspoon,JohnnyCage,KennethPaltrow,MatthewJohansson,MerylGibson,RipWinslet,RockDukakis","0"
11,971,"Whale Bikini","English             ","Foreign",4,"4.99","11.99","PG-13","AudreyOlivier,EdChase,GregoryGooding,HenryBerry,RipWinslet","0"
12,347,"Games Bowfinger","English             ","Travel",7,"4.99","17.99","PG-13","AngelaHudson,BurtPosey,FrancesTomei,HumphreyWillis,JuliaMcqueen,MaryKeitel,MatthewLeigh,RipWinslet","0"
13,499,"King Evolution","English             ","Family",3,"4.99","24.99","NC-17","BurtDukakis,CubaAllen,LucilleTracy,MaryKeitel,PenelopeGuiness,ReneeBall","0"
